iter	Passed	Remaining
0	0	324
1	0	279
2	0	275
3	1	251
4	1	227
5	1	233
6	1	225
7	1	228
8	1	217
9	2	218
10	2	222
11	2	223
12	2	218
13	3	219
14	3	216
15	3	212
16	3	215
17	3	212
18	4	214
19	4	217
20	4	214
21	4	215
22	5	217
23	5	216
24	5	218
25	5	219
26	5	216
27	6	217
28	6	218
29	6	217
30	6	218
31	7	217
32	7	218
33	7	219
34	7	220
35	8	221
36	8	223
37	8	221
38	8	219
39	9	220
40	9	218
41	9	218
42	9	217
43	10	218
44	10	218
45	10	219
46	10	220
47	11	223
48	11	222
49	11	222
50	11	221
51	12	220
52	12	221
53	12	221
54	12	222
55	13	222
56	13	222
57	13	221
58	13	220
59	14	220
60	14	219
61	14	219
62	14	217
63	14	215
64	15	215
65	15	215
66	15	215
67	15	213
68	15	213
69	16	213
70	16	212
71	16	212
72	16	211
73	16	211
74	17	211
75	17	210
76	17	210
77	17	210
78	18	210
79	18	210
80	18	210
81	18	210
82	19	210
83	19	210
84	19	210
85	19	209
86	19	209
87	20	209
88	20	209
89	20	209
90	20	209
91	21	209
92	21	209
93	21	209
94	22	209
95	22	211
96	22	211
97	22	211
98	23	211
99	23	211
100	24	213
101	24	214
102	24	214
103	24	213
104	25	213
105	25	212
106	25	211
107	25	210
108	25	210
109	26	210
110	26	210
111	26	210
112	26	209
113	26	209
114	27	209
115	27	208
116	27	209
117	27	208
118	28	208
119	28	207
120	28	207
121	28	206
122	28	206
123	29	206
124	29	205
125	29	205
126	29	204
127	29	204
128	30	204
129	30	203
130	30	203
131	30	203
132	31	203
133	31	202
134	31	202
135	31	202
136	32	202
137	32	201
138	32	201
139	32	201
140	33	201
141	33	201
142	33	200
143	33	200
144	33	199
145	34	199
146	34	199
147	34	199
148	34	199
149	35	198
150	35	198
151	35	198
152	35	198
153	36	202
154	37	202
155	37	203
156	37	202
157	38	202
158	38	202
159	38	201
160	38	201
161	38	201
162	39	200
163	39	200
164	39	200
165	39	199
166	40	199
167	40	199
168	40	199
169	40	199
170	41	198
171	41	198
172	41	198
173	41	198
174	41	197
175	42	197
176	42	197
177	42	196
178	42	196
179	43	196
180	43	196
181	43	195
182	43	195
183	44	195
184	44	194
185	44	194
186	44	194
187	44	194
188	45	194
189	45	194
190	45	193
191	45	193
192	46	193
193	46	192
194	46	192
195	46	192
196	47	192
197	47	191
198	47	191
199	47	191
200	48	191
201	48	190
202	48	190
203	48	190
204	49	190
205	49	190
206	49	190
207	50	190
208	50	190
209	50	190
210	51	191
211	51	190
212	51	190
213	51	190
214	52	190
215	52	190
216	52	190
217	53	190
218	53	190
219	53	189
220	53	189
221	54	189
222	54	189
223	54	188
224	54	188
225	55	188
226	55	188
227	55	188
228	55	187
229	56	187
230	56	187
231	56	187
232	56	186
233	57	186
234	57	186
235	57	186
236	57	186
237	58	186
238	58	185
239	58	185
240	58	185
241	59	185
242	59	185
243	59	184
244	59	184
245	60	184
246	60	184
247	60	184
248	61	184
249	61	183
250	61	183
251	61	183
252	62	183
253	62	183
254	62	183
255	63	183
256	63	183
257	63	183
258	64	184
259	64	184
260	65	184
261	65	185
262	66	185
263	66	184
264	66	184
265	66	184
266	67	184
267	67	183
268	67	183
269	67	183
270	68	183
271	68	183
272	68	182
273	68	182
274	69	182
275	69	182
276	69	182
277	70	182
278	70	181
279	70	181
280	70	181
281	71	181
282	71	180
283	71	180
284	71	180
285	72	180
286	72	179
287	72	179
288	72	179
289	73	179
290	73	178
291	73	178
292	74	178
293	74	178
294	74	178
295	74	177
296	75	177
297	75	177
298	75	177
299	75	177
300	76	176
301	76	176
302	76	176
303	76	176
304	77	175
305	77	175
306	77	175
307	78	175
308	78	175
309	78	175
310	79	175
311	79	174
312	79	174
313	79	174
314	80	174
315	80	174
316	80	173
317	80	173
318	81	173
319	81	173
320	81	172
321	81	172
322	82	172
323	82	172
324	82	171
325	82	171
326	83	171
327	83	170
328	83	170
329	83	170
330	84	170
331	84	169
332	84	169
333	84	169
334	85	169
335	85	168
336	85	168
337	85	168
338	86	168
339	86	167
340	86	167
341	86	167
342	87	166
343	87	166
344	87	166
345	87	166
346	88	165
347	88	165
348	88	165
349	88	165
350	89	165
351	89	165
352	90	164
353	90	164
354	90	164
355	90	164
356	91	164
357	91	163
358	91	163
359	92	163
360	92	163
361	92	163
362	92	162
363	92	162
364	93	162
365	93	162
366	93	161
367	94	161
368	94	161
369	94	160
370	94	160
371	95	160
372	95	160
373	95	160
374	95	159
375	96	159
376	96	159
377	96	159
378	97	158
379	97	158
380	97	158
381	97	158
382	98	157
383	98	157
384	98	157
385	98	157
386	99	156
387	99	156
388	99	156
389	99	156
390	100	155
391	100	155
392	100	155
393	100	155
394	101	154
395	101	154
396	101	154
397	102	154
398	102	154
399	102	154
400	103	153
401	103	153
402	103	153
403	103	153
404	104	152
405	104	152
406	104	152
407	104	152
408	105	152
409	105	151
410	105	151
411	106	151
412	106	151
413	106	150
414	106	150
415	107	150
416	107	150
417	107	149
418	107	149
419	108	149
420	108	148
421	108	148
422	108	148
423	109	148
424	109	147
425	109	147
426	109	147
427	110	147
428	110	146
429	110	146
430	110	146
431	111	146
432	111	145
433	111	145
434	111	145
435	112	145
436	112	144
437	112	144
438	113	144
439	113	144
440	113	143
441	113	143
442	114	143
443	114	143
444	114	143
445	115	143
446	115	142
447	115	142
